brightness,contrast,saturation,sharpness,dominant_color_1,dominant_color_2,dominant_color_3,image_name,raw_rating,rating
179.54,67.03,30.61,3051.73,"[160, 164, 166]","[220, 220, 219]","[51, 57, 49]",living_1298.jpg,499.3365,1.77
165.53,68.37,40.07,1341.9,"[183, 173, 151]","[64, 59, 51]","[244, 243, 240]",living_1299.jpg,242.38049999999998,1.34
165.72,65.51,65.33,2002.83,"[177, 165, 155]","[90, 87, 88]","[251, 252, 251]",living_13.jpg,344.90849999999995,1.51
65.22,53.17,65.66,2834.58,"[20, 21, 25]","[77, 79, 85]","[180, 181, 177]",living_1300.jpg,452.79449999999997,1.69
175.42,59.59,45.87,1135.03,"[251, 251, 250]","[83, 62, 53]","[186, 171, 163]",living_1301.jpg,212.38649999999998,1.28
145.46,66.58,40.21,2217.51,"[80, 76, 61]","[164, 162, 149]","[245, 247, 243]",living_1302.jpg,370.464,1.55
167.72,59.25,105.24,2573.15,"[162, 129, 91]","[215, 195, 158]","[98, 65, 39]",living_1303.jpg,435.80400000000003,1.66
199.07,73.28,41.13,1822.5,"[188, 178, 165]","[253, 253, 252]","[101, 68, 49]",living_1304.jpg,320.397,1.47
164.49,95.46,36.63,1813.49,"[145, 149, 139]","[248, 249, 248]","[32, 32, 25]",living_1305.jpg,316.51050000000004,1.46
170.08,75.97,81.02,3522.17,"[242, 236, 228]","[86, 55, 38]","[170, 138, 112]",living_1306.jpg,577.3860000000001,1.91
160.93,69.37,33.02,3298.88,"[174, 172, 172]","[59, 44, 39]","[248, 249, 249]",living_1307.jpg,534.33,1.83
142.59,53.37,59.17,2059.85,"[44, 38, 33]","[146, 134, 126]","[188, 174, 159]",living_1309.jpg,347.24699999999996,1.51
170.1,89.1,42.71,2234.58,"[171, 162, 149]","[53, 37, 30]","[252, 252, 249]",living_131.jpg,380.47349999999994,1.57
151.17,81.97,84.06,2704.85,"[179, 158, 120]","[56, 40, 25]","[242, 237, 226]",living_1310.jpg,453.30749999999995,1.69
155.94,69.43,59.12,2523.54,"[151, 137, 121]","[57, 51, 42]","[214, 200, 185]",living_1311.jpg,421.2045,1.64
184.74,56.86,59.31,2710.94,"[189, 168, 140]","[96, 83, 77]","[223, 224, 224]",living_1314.jpg,451.77750000000003,1.69
